名称,评分
海边的曼彻斯特 Manchester by the Sea,8.6
罗曼蒂克消亡史,7.7
无处为家 I Don’t Feel at Home in This World Anymore,7.1
暗金丑岛君3 闇金ウシジマくん Part3,7.4
共助 공조,6.8
灵魂纸扎店,6.7
二十世纪女人 20th Century Women,8.0
月光男孩 Moonlight,7.2
推销员 فروشنده,7.7
间谍同盟 Allied,6.9
降临 Arrival,7.8
海洋奇缘 Moana,7.6
血战钢锯岭 Hacksaw Ridge,8.7
雄狮 Lion,7.3
神奇动物在哪里 Fantastic Beasts and Where to Find Them,7.9
隐藏人物 Hidden Figures,8.6
王者 더 킹,7.4
比利·林恩的中场战事 Billy Lynn's Long Halftime Walk,8.5
情圣,6.1
你好，疯子！,7.0
无处为家 I Don’t Feel at Home in This World Anymore,7.1
暗金丑岛君3 闇金ウシジマくん Part3,7.4
沉睡的巨人 Sleeping Giant,6.1
夏美的萤火虫 夏美のホタル,5.9
女劫 XX,5.3
我去哪儿？ Quo vado?,8.1
共助 공조,6.8
幽灵男孩 Phantom Boy,6.8
灵魂纸扎店,6.7
二十世纪女人 20th Century Women,8.0
一路顺风 一路順風,7.1
反情色 アンチポルノ,6.7
跆拳道 Taekwondo,7.5
杀戮都市：O GANTZ:O,7.8
亡命雷区 Mine,5.5
西葫芦的生活 Ma vie de courgette,8.3
救命解药 A Cure for Wellness,6.8
柏林孤影 Alone in Berlin,6.6
监禁风暴,5.6
血浓于罪 Trespass Against Us,6.4
肖申克的救赎 The Shawshank Redemption,9.6
这个杀手不太冷 Léon,9.4
霸王别姬,9.5
阿甘正传 Forrest Gump,9.4
千与千寻 千と千尋の神隠し,9.2
盗梦空间 Inception,9.2
美丽人生 La vita è bella,9.5
泰坦尼克号 Titanic,9.2
忠犬八公的故事 Hachi: A Dog's Tale,9.2
星际穿越 Interstellar,9.1
三傻大闹宝莱坞 3 Idiots,9.1
海上钢琴师 La leggenda del pianista sull'oceano,9.2
辛德勒的名单 Schindler's List,9.4
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.1
机器人总动员 WALL·E,9.3
少年派的奇幻漂流 Life of Pi,9.0
怦然心动 Flipped,8.9
楚门的世界 The Truman Show,9.0
放牛班的春天 Les choristes,9.2
触不可及 Intouchables,9.1
罗曼蒂克消亡史,7.7
血战钢锯岭 Hacksaw Ridge,8.7
灵魂纸扎店,6.7
神奇动物在哪里 Fantastic Beasts and Where to Find Them,7.9
驴得水,8.3
比利·林恩的中场战事 Billy Lynn's Long Halftime Walk,8.5
奇异博士 Doctor Strange,7.7
疯狂动物城 Zootopia,9.2
湄公河行动,8.0
七月与安生,7.6
萨利机长 Sully,8.3
我不是潘金莲,6.8
海洋奇缘 Moana,7.6
老炮儿,8.0
大鱼海棠,6.5
一个叫欧维的男人决定去死 En man som heter Ove,8.7
铁道飞虎,5.1
美人鱼,6.8
X战警：天启 X-Men: Apocalypse,7.8
夏洛特烦恼,7.4
爱乐之城 La La Land,8.4
血战钢锯岭 Hacksaw Ridge,8.7
我去哪儿？ Quo vado?,8.1
二十世纪女人 20th Century Women,8.0
海边的曼彻斯特 Manchester by the Sea,8.6
驴得水,8.3
你的名字。 君の名は。,8.5
欢乐好声音 Sing,8.3
比利·林恩的中场战事 Billy Lynn's Long Halftime Walk,8.5
疯狂动物城 Zootopia,9.2
湄公河行动,8.0
肖申克的救赎 The Shawshank Redemption,9.6
这个杀手不太冷 Léon,9.4
釜山行 부산행,8.2
霸王别姬,9.5
阿甘正传 Forrest Gump,9.4
千与千寻 千と千尋の神隠し,9.2
盗梦空间 Inception,9.2
星际穿越 Interstellar,9.1
泰坦尼克号 Titanic,9.2
西葫芦的生活 Ma vie de courgette,8.3
二十世纪女人 20th Century Women,8.0
我去哪儿？ Quo vado?,8.1
炙热 Parched,8.6
废纸板拳击手 Cardboard Boxer,8.2
为你取名的那一天 犬に名前をつける日,8.3
关于伊丽 درباره الی,8.0
兰闺惊变 What Ever Happened to Baby Jane?,8.1
爵士春秋 All That Jazz,8.4
伤物语2：热血篇 傷物語Ⅱ 熱血篇,8.1
控方证人 Witness for the Prosecution,9.4
杀戮禁区 Beyond the Gates,8.2
奇特的故事 Extraordinary Tales,8.2
捕鼠者 Ratcatcher,8.2
大地之歌 পথের পাঁচালী,8.8
理查三世 Richard III,8.5
雪路 눈길,8.1
平凡岁月的魅力 The Magic of Ordinary Days,8.5
旅行 El Viaje,8.8
秘密与谎言 Secrets & Lies,8.2
罗曼蒂克消亡史,7.7
驴得水,8.3
灵魂纸扎店,6.7
湄公河行动,8.0
七月与安生,7.6
摆渡人,4.0
我不是潘金莲,6.8
情圣,6.1
老炮儿,8.0
大鱼海棠,6.5
铁道飞虎,5.1
美人鱼,6.8
夏洛特烦恼,7.4
从你的全世界路过,5.3
西游记之大圣归来,8.2
追凶者也,7.6
我的少女时代 我的少女時代,7.8
寻龙诀,7.6
火锅英雄,7.2
烈日灼心,7.9
爱乐之城 La La Land,8.4
血战钢锯岭 Hacksaw Ridge,8.7
无处为家 I Don’t Feel at Home in This World Anymore,7.1
我去哪儿？ Quo vado?,8.1
二十世纪女人 20th Century Women,8.0
海边的曼彻斯特 Manchester by the Sea,8.6
神奇动物在哪里 Fantastic Beasts and Where to Find Them,7.9
降临 Arrival,7.8
欢乐好声音 Sing,8.3
比利·林恩的中场战事 Billy Lynn's Long Halftime Walk,8.5
奇异博士 Doctor Strange,7.7
疯狂动物城 Zootopia,9.2
月光男孩 Moonlight,7.2
刺客信条 Assassin's Creed,5.6
太空旅客 Passengers,6.9
萨利机长 Sully,8.3
海洋奇缘 Moana,7.6
一个叫欧维的男人决定去死 En man som heter Ove,8.7
完美陌生人 Perfetti sconosciuti,8.6
X战警：天启 X-Men: Apocalypse,7.8
釜山行 부산행,8.2
共助 공조,6.8
小姐 아가씨,7.8
隧道 터널,7.6
王者 더 킹,7.4
暗杀 암살,8.0
哭声 곡성,7.1
男与女 남과 여,7.8
季春奶奶 계춘할망,8.3
潘多拉 판도라,7.4
思悼 사도,8.3
内在美 뷰티 인사이드,7.5
老手 베테랑,7.5
奸臣 간신,6.4
阿修罗 아수라,7.2
检察官外传 검사외전,7.1
局内人 내부자들,7.6
我们的世界 우리들,8.4
恋爱谈 연애담,7.7
酒神小姐 죽여주는 여자,8.2
你的名字。 君の名は。,8.5
暗金丑岛君3 闇金ウシジマくん Part3,7.4
垫底辣妹 ビリギャル,8.1
比海更深 海よりもまだ深く,8.6
海街日记 海街diary,8.6
濑户内海 セトウツミ,8.2
航海王之黄金城 ONE PIECE FILM GOLD,7.8
名侦探柯南：纯黑的恶梦 名探偵コナン 純黒の悪夢,6.2
杀戮都市：O GANTZ:O,7.8
请叫我英雄 アイアムアヒーロー,7.0
最终幻想15：王者之剑 Kingsglaive Final Fantasy XV,7.5
火影忍者剧场版：博人传 BORUTO -NARUTO THE MOVIE-,8.4
红鳉鱼 赤めだか,9.0
假如猫从世界上消失了 世界から猫が消えたなら,7.1
同级生 同級生,8.7
新哥斯拉 シン・ゴジラ,6.5
哆啦A梦：新·大雄的日本诞生 ドラえもん 新・のび太の日本誕生,7.1
反情色 アンチポルノ,6.7
瑞普·凡·温克尔的新娘 リップヴァンウィンクルの花嫁,7.4
早死早投胎之地狱摇滚篇 TOO YOUNG TO DIE！ 若くして死ぬ,7.8
湄公河行动,8.0
共助 공조,6.8
速度与激情7 Furious 7,8.3
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,8.5
碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,7.7
师父,8.1
谍影重重5 Jason Bourne,7.3
死侍 Deadpool,7.5
寻龙诀,7.6
釜山行 부산행,8.2
杀破狼2 殺破狼2,7.3
战狼,6.8
007：幽灵党 Spectre,6.2
寒战2 寒戰II,6.9
机械师2：复活 Mechanic: Resurrection,5.6
自杀小队 Suicide Squad,6.1
魔兽 Warcraft,7.8
暗杀 암살,8.0
惊天魔盗团2 Now You See Me 2,6.5
叶问3,6.3
我去哪儿？ Quo vado?,8.1
二十世纪女人 20th Century Women,8.0
美人鱼,6.8
夏洛特烦恼,7.4
疯狂动物城 Zootopia,9.2
驴得水,8.3
唐人街探案,7.5
捉妖记,6.8
煎饼侠,6.1
港囧,5.7
头脑特工队 Inside Out,8.7
情圣,6.1
功夫熊猫3 Kung Fu Panda 3,7.7
女间谍 Spy,7.5
爱宠大机密 The Secret Life of Pets,7.5
万万没想到,5.6
滚蛋吧！肿瘤君,7.5
西游记之大圣归来,8.2
欢乐好声音 Sing,8.3
小黄人大眼萌 Minions,7.3
